No,Destination Name,Address,Subdistrict,Regency,Latitude,Longitude,Category 1,Category 2,Category 3,Rating,Google Reviews (Count),Source,Tourist Entry
,Palmilla Bali Beach Club,"Ungasan, South Kuta, Badung, Bali",Kuta Selatan,Badung,-8.8479375,115.1576875,Beachside,Beach Club,Vegan Dishes,44,3032,https://g.co/kgs/tM3Ry8a,250000
,Azul Beach Club Bali,"Jl. Padma No.2, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361",Kuta,Badung,-8.7072715,115.1664586,Beachside,Beach Club,Resort,45,2058,https://g.co/kgs/H6hQZKA,250000
,La Brisa Bali | Beach Club,"Jl. Pantai Batu Mejan, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,-8.6542178,115.1250199,Beachside,Beach Club,Restaurant,45,12810,https://g.co/kgs/Kz39Spn,350000
,The Beach Club at Courtyard by Marriott Bali Nusa Resort Dua,"Peninsula Beach, Nusa Dua, Benoa, South Kuta, Badung, Bali 80363",Kuta Selatan,Badung,-8.8026195,115.2359952,Beachside,Beach Club,Luxurious,45,430,https://g.co/kgs/gcwVGW2,450000
,Mïnoo Beach Club,"Jl. Pengayutan. Pantai Melasti, Ungasan, South Kuta, Badung, Bali",Kuta Selatan,Badung,-8.8482789,115.161177,Beachside,Beach Club,Bar,45,713,https://g.co/kgs/aiVvwam,250000
,Mari Beach Club Bali,"Jl. Batu Belig No.66, Kerobokan Kelod, Kec. Kuta Utara, Bali, 80361",Kuta Utara,Badung,-8.673399,115.146549,Beachside,Beach Club,Bar,45,1687,https://g.co/kgs/3QJRzSx,250000
,COMO Beach Club,"Jl. Pantai Batu Mejan, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,42.6115487,-88.4836683,Beachside,Beach Club,Live Music,45,821,https://g.co/kgs/NeiVoKo,250000
,Sundays Beach Club,"Jl. Pantai Sel. Gau Banjar Wijaya Kusuma, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80362",Kuta Selatan,Badung,-8.8471797,115.1507886,Beachside,Beach Club,Restaurant,45,3434,https://g.co/kgs/vz8Uy2Z,250000
,Kubu Beach Club,"AYANA Resort and Spa, Jl. Karang Mas Sejahtera, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80364",Kuta Selatan,Badung,-8.7879753,115.1330871,Beachside,Indonesian Food,Restaurant,44,188,https://g.co/kgs/jaKTVa6,250000
,Sakala Beach Club,"Jl. Pratama No.95, Tj. Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Kuta Selatan,Badung,-8.759307,115.2219883,Beachside,Resort,Restaurant,45,334,https://g.co/kgs/BdBHAk3,250000
,Infinity Beach Club," Seminyak, Bali, Badung, Bali 80361",Kuta,Badung,-8.6865921,115.1539623,Beachside,Beach Club,Live Music,45,137,https://g.co/kgs/QCtxMab,250000
,Reef Beach Club,"Jl. Raya Nusa Dua Selatan, Sawangan, Nusa Dua, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Kuta Selatan,Badung,-8.830053,115.2188139,Beachside,Beach Club,Vegan Dishes,45,330,https://g.co/kgs/8Pv2kzK,250000
