No,Destination Name,Address,Subdistrict,Regency,Latitude,Longitude,Category,Ratings,Google Review Count
35,The Anvaya Beach Resort Bali,"Jl. Kartika Plaza, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
36,The Apurva Kempinski Bali,"Jl. Raya Nusa Dua Selatan lot 4, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
37,"The Westin Resort Nusa Dua, Bali","Kawasan Pariwisata Nusa Dua, BTDC Lot N-3, Benoa, Kec. Kuta Sel., Nusa Dua, Bali 80363, Indonesia",Kuta,Badung,,,Stays,,
38,The Sakala Resort Bali - All Suites,"Jl. Pratama No.95, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia",Kuta,Badung,,,Stays,,
39,Discovery Kartika Plaza Bali,"Jl. Kartika Plaza, Kuta, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
40,Urban Styles Inata Bisma Ubud,"Jl. Bisma, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571, Indonesia",Ubud,Gianyar,,,Stays,,
41,Hilton Bali Resort,"Jl. Raya Nusa Dua Selatan, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
42,The ONE Legian,"Jl. Raya Legian No.117, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
43,Prama Sanur Beach Bali,"Jalan Cemara Sanur, Sanur Kauh, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia",Selat,Denpasar,,,Stays,,
44,Ramada Encore by Wyndham Bali Seminyak,"Jl. Dewi Saraswati III, Seminyak, Kec. Kuta, Kota Denpasar, Bali 80361, Indonesia",Kuta,Denpasar,,,Stays,,
45,ASTON Kuta Hotel & Residence,"Jl. Wana Segara No.2, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
46,Merusaka Nusa Dua,"Kawasan Wisata Nusa Dua Lot S-3, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia",Kuta,Badung,,,Stays,,
47,Kanishka Villas,"Jalan Kunti I Gang Mangga No. 8Y, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
48,Kanvaz Village Resort Seminyak,"Jl. Petitenget No.188, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
49,RIMBA by AYANA Bali,"645Q+4QQ Sky Bridge from Rimba to Ayana Hotel, Estate Sejahtera, Rimba Jimbaran, Jl. Karang Mas, Jimbaran, South Kuta, Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
50,Grand Inna Kuta,"Jl. Pantai Kuta No.1, Pande Mas, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
51,"Nusa Dua Beach Hotel & Spa, Bali","Kawasan Pariwisata Nusa Dua Lot. North 4, Jl. Nusa Dua, Benoa, South Kuta, Badung, Bali 80363, Indonesia",Kuta,Badung,,,Stays,,
52,Mercure Bali Nusa Dua,"Jalan Nusa Dua Selatan Lot Sw 03, Jl. Nusa Dua, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia",Kuta,Badung,,,Stays,,
53,Padma Resort Ubud,"Padma Resort Ubud Banjar Carik, Desa, Puhu, Kec. Payangan, Kabupaten Gianyar, Bali 80572, Indonesia",Banjar,Gianyar,,,Stays,,
54,Conrad Bali,"Jl. Pratama No.168, Tanjung, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia",Kuta,Badung,,,Stays,,
55,Grand Hyatt Bali,"Kawasan Wisata Nusa Dua BTDC, Jl. Nusa Dua, Benoa, South Kuta, Badung, Bali 80363, Indonesia",Kuta,Badung,,,Stays,,
56,Horison Seminyak,"Seminyak, Jl. Arjuna Jl. Double Six, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
57,Aryaduta Bali,"Jl. Kartika Plaza, Lingkungan Segara, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
58,Swiss Belhotel Tuban,"Jl. Kubu Anyar No.31, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
59,Hotel Dafam Savvoya Seminyak,"Jl. Mertanadi No.14, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
60,The Lerina Hotel Nusa Dua,"Jl. Bypass Ngurah Rai No.1001X, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
61,Four Star by Trans Hotel,"Jl. Raya Puputan No.200, Renon, Denpasar Selatan, Kota Denpasar, Bali 80226, Indonesia",Selat,Denpasar,,,Stays,,
62,Bali Dynasty Resort,"Jl. Kartika Plaza, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
63,Wyndham Garden Kuta Beach Bali,"Jl. Pantai Kuta No.99 X, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
64,Hotel Santika Siligita Nusa Dua,"Banjar Peminge, Jl. Siligita No.3A, Nusa Dua, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80571, Indonesia",Kuta,Badung,,,Stays,,
65,Sheraton Bali Kuta Resort,"Jl. Pantai Kuta, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
66,Tribe Bali Kuta Beach,"Jl. Pantai Kuta No.99, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
67,Kaisa Villas Seminyak,"Jl. Bali Deli No.88, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
68,Novotel Bali Nusa Dua - Hotel & Residences,"Jl. Pantai Mengiat, Benoa, Kec. Kuta Sel., Bali, 80363, Indonesia",Kuta,Badung,,,Stays,,
69,Danoya Villa Seminyak,"Jl. Batubelig No. 559, Seminyak, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361, Indonesia",Kuta,Badung,,,Stays,,
70,Grand Palace Hotel Sanur - Bali,"Jl. Bypass Ngurah Rai No.165, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia",Selat,Denpasar,,,Stays,,
71,HARRIS Hotel and Conventions Denpasar Bali,"Jl. Cokroaminoto No.23-25, Pemecutan Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80118, Indonesia",Denpasar Utara,Denpasar,,,Stays,,
72,THE 1O1 Bali Oasis Sanur,"Jl. Danau Tamblingan No.136A, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228, Indonesia",Selat,Denpasar,,,Stays,,
