No,Destination Name,Address,Subdistrict,Regency,Latitude,Longitude,Rating,Google Reviews (Count),Category,Source
,Ayung Terrace,"Sayan, Ubud, Gianyar, Bali 80571",Ubud,Gianyar,-8.5014494,115.2423579,46,102,Restaurant,https://bit.ly/3Kl6G8G
,The Swept Away Restaurant Ubud by The Samaya Ubud,Jl. Baung,Ubud,Gianyar,-8.51382,115.2371242,47,524,Western,https://bit.ly/3VgW3cZ
,Gong Jatiluwih,Jl. Jatiluwih Kawan No.88,Tabanan,Tabanan,-8.3668957,115.1299438,43,2652,Restaurant,https://bit.ly/3wRAqXs
,The Shed Bali,Jl. Bangkiang Sidem No.8x,Ubud,Gianyar,-8.4831335,115.2580717,47,426,Restaurant,https://bit.ly/3KjBIxu
,Sawah Terrace,Jl. Raya Kedewatan,Ubud,Gianyar,-8.486377,115.242404,49,159,Restaurant,https://bit.ly/3VgObIw
,Tropical Restaurant Ubud,Jl. Monkey Forest No.03,Ubud,Gianyar,-8.5075441,115.2620626,46,2477,Restaurant,https://bit.ly/4aHucHs
,Laka Leke Restaurant,Jl. Nyuh Bojog No.32,Ubud,Gianyar,-8.5202716,115.2574513,46,2561,Balinese restaurant,https://bit.ly/3VhtKv8
,Ketela Eatery & Lifestyle,Jl. Pantai Batu Bolong No.25 C,Kuta,Badung,-8.646468,115.139763,49,713,Restaurant,https://bit.ly/4aD2Rq1
,Labak Sari Restaurant,"Jl. Tirta Tawar, Br. Abangan, 80571, Ubud 80571",Ubud,Gianyar,-8.4683069,115.2698459,47,698,Balinese restaurant,https://bit.ly/3Vguqki
,Embers Restaurant,Jl. Bisma No.97,Ubud,Gianyar  ,29.6106997,-98.4807963,45,150,Restaurant,https://bit.ly/4aSOMoF
,Terracotta Restaurant Ubud,Jl. Raya Lungsiakan,Ubud,Gianyar,-8.4860663,115.2488938,45,244,Restaurant,https://bit.ly/4aFg8hR
