No,Destination Name,Address,Subdistrict,Regency,Latitude,Longitude,Category 1,Category 2,Category 3,Rating,Google Reviews (Count),Source,Tourist Entry
,Sundari Day Spa,"Jalan Petitenget 7 Kerobokan, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",Kuta,Badung,-8.6718055,115.1632114,Day Spa,,,47,1800,https://g.co/kgs/Z4h4HbV,
,Bodyworks Spa,"Jl. Lb. Sari Jl. Petitenget No.3, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,35.4498729,-94.7990401,Day Spa,Hairstyling,Massage,44,1788,https://g.co/kgs/ZoKYNNw,
,La Nusa Bali Spa," Jl. Pratama No.35A, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Kuta Selatan,Badung,-8.7841479,115.2251694,Day Spa,,,49,1878,https://g.co/kgs/Syq3Gft,
,Lagoon Spa Seminyak,"Villa Seminyak Estate & Spa, Jl. Nakula Gg. Baik-Baik, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",Kuta,Badung,-8.6956077,115.1722969,Day Spa,,,45,160,https://g.co/kgs/12UHGeS,
,Sekar Jagat Spa Bali,"Jalan By Pass Ngurah Rai, Jl. Puri Mumbul Permai Jalan Nusa Dua No.96, Bali 80361",Kuta,Badung,-8.7847504,115.1934124,Balinese Spa,,,49,100,https://g.co/kgs/Mj15EbC,
,"Away Spa, W Bali - Seminyak","Jl. Petitenget, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,-8.6773236,115.1488372,Day Spa,,,43,22,https://g.co/kgs/XWsWMph,
,Bali Green Spa,"Pertokoan Sunset Permai Blok D, Jalan Sunset Road, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361",Kuta,Badung,-8.701496,115.1797938,Balinese Spa,,,45,346,https://g.co/kgs/MpqwBst,
,Bhava Spa Kuta,"Jl. Kartika Plaza Gg. Puspa Ayu No.99, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",Kuta,Badung,-8.7297366,115.1696907,Balinese Spa,,,48,283,https://g.co/kgs/hy6rLJK,
,Ubud Traditional Spa,"Jalan Rsi Markandya I Payogan, Kedewatan, Kec. Gianyar, Kabupaten Gianyar, Bali 80571",Ubud,Gianyar,-8.477359,115.2533,Balinese Spa,,,49,2500,https://g.co/kgs/qrYLWcw,
,Re Massage Studio,"Jl. Petitenget No.88D, Seminyak, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,-8.6765177,115.1553737,Day Spa,,,44,500,https://g.co/kgs/URkVJ4p,
,Talise Spa Bali," Kawasan Pecatu Indah Resort, Jl. Raya Uluwatu Street, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Kuta Selatan,Badung,-8.7980945,115.1194552,Day Spa,Health club,,5,4,https://g.co/kgs/bJtEqv9,
,Bali Orchid Spa,"Jl. Bypass Ngurah Rai Suwung Kauh No.108, Pemogan, Denpasar Selatan, Kota Denpasar, Bali 40115",Denpasar Selatan,Denpasar,-8.7216743,115.1898156,Balinese Spa,,,44,1792,https://g.co/kgs/7TPNgih,
,Spa Bali Camplung Tanduk,"Depan Kimia Farma, Jl. Camplung Tanduk No.100x, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",Kuta,Badung,-8.6913582,115.1646472,Balinese Spa,,,44,59,https://g.co/kgs/4api5Uw,
,Taman Air Spa,"Jl. Sunset Road No.88, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",Kuta,Badung,-8.7072617,115.1829567,Balinese Spa,,,44,851,https://g.co/kgs/XWjoEYA,
,Spring Spa Seminyak,"Jl. Kayu Jati No.8, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",Kuta,Badung,-8.6833388,115.156449,Day Spa,,,42,469,https://g.co/kgs/MB5b4th,
,Akoya Spa,"Jl. Lanyahan, Br. Nagi, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",Ubud,Gianyar,29.5411538,-95.1146426,Day Spa,,,44,27,https://g.co/kgs/jicnXje,
,Putri Bali Spa,"Jl. Raya Sanggingan, Kedewatan, Kecamatan Ubud, Kabupaten Gianyar, Bali",Ubud,Gianyar,-8.4915278,115.2533409,Balinese Spa,,,47,1952,https://g.co/kgs/3ctmQK1,
,Terapung Float Club,"Jl. Drupadi No.99A, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",Kuta,Badung,41.8108365,-88.2048889,Health Club,Yoga,Icebath,49,216,https://g.co/kgs/BoEeV3k,
,De Nyuh Spa Kuta,"Jl. Bypass Ngurah Rai No.99, Tuban, Kec. Kuta, Kabupaten Badung, Bali 80361",Kuta,Badung,-8.7419319,115.1814986,Balinese Spa,,,45,206,https://g.co/kgs/xY8C8c8,
,Theta Spa by The Sea," Bintang Bali Resort, Jl. Kartika Plaza, Kuta, Badung, Bali 80361",Kuta,Badung,-8.7325706,115.1642533,Day Spa,,,44,124,https://g.co/kgs/UKv73wR,
,Cool Spa,"Jl. Kayu Cendana No.C001, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",Kuta,Badung,40.7381119,-73.9917212,Day Spa,Sport Massage,,45,256,https://g.co/kgs/n34obHi,
,Sanctuary Bali Spa,"Jl. Danau Buyan No.67, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80227",Denpasar Selatan,Denpasar,-8.6820401,115.2597301,Day Spa,Saloon,,46,206,https://g.co/kgs/xAs67GJ,
,Heavenly Spa by Westin,"Kompleks ITDC Jl. Nusa Dua No.Lot N3, Benoa, South Kuta, Badung, Bali 80363",Kuta Selatan,Badung,32.0868631,-81.0822129,Day Spa,Sauna,Jacuzzi,48,115,https://g.co/kgs/RziBcCq,
,The Nest Beachside Spa,"Jl. Setapak, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",Denpasar Selatan,Denpasar,-8.7049168,115.263958,Day Spa,Beachside,,47,386,https://g.co/kgs/nUxfozj,
,Karsa Spa,"Keliki, Jl. Markandia Jl. Bangkiang Sidem, Ubud, Kec. Tegallalang, Kabupaten Gianyar, Bali 80571",Tegallalang,Gianyar,-8.4895342,115.2583198,Balinese Spa,Rice Field,,47,1714,https://g.co/kgs/u2HCBLr,
,Sacred River Spa at Four Seasons Resort Bali at Sayan,"Jl. Raya Sayan, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",Ubud,Gianyar,-8.5017488,115.2405935,Luxury Spa,,,46,88,"https://www.google.com/search?sca_esv=d2fbde582ddfbd7f&cs=0&output=search&q=Sacred+River+Spa+at+Four+Seasons+Resort+Bali+at+Sayan&ludocid=76940103563435499&ibp=gwp;0,7&lsig=AB86z5UBImRJv8Vqom-zjWN6NfLB&kgs=eb22320ef20cb81a&shndl=-1&shem=lsp,ssim&source=sh/x/kp/local/m1/1",
,The Canopy Spa,"Lloyd's Inn Bali, Jl. Arjuna Jl. Double Six, Seminyak, Kuta, Badung, Bali 80361",Kuta,Badung,-8.6964632,115.1640673,Day Spa,,,39,49,https://g.co/kgs/opZfzDf,
,Home Spa Bali,"Jl. Pratama No.97, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Kuta Selatan,Badung,-8.765962,115.221882,Balinese Spa,,,47,236,https://g.co/kgs/ZGRSozr,
,The Calma Spa Bali - Jimbaran Beach," Jl. Uluwatu II No.108X, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Kuta Selatan,Badung,-8.784181,115.1709982,Balinese Spa,,,48,1829,https://g.co/kgs/QE14xqU,
,ASPYA BALI,"Jl. Drupadi No.23, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",Kuta,Badung,-8.6877219,115.164925,Day Spa,Facial,,44,133,https://g.co/kgs/MuJvDx3,
,Spa at Maya Sanur,"Jl. Danau Tamblingan No.89M, Sanur, Denpasar Selatan, Kota Denpasar, Bali 80228",Denpasar Selatan,Denpasar,-8.6978843,115.2648998,Day Spa,Balinese Spa,,5,309,https://g.co/kgs/3RwJ6yh,
,LuxMe Bali Spa,"Kori Nuansa Jimbaran, Jl. Nuansa Utama VIII Jl. Taman Griya No.6, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Kuta Selatan,Badung,-8.797854,115.1849673,Day Spa,Facial,,49,52,https://g.co/kgs/sQod1yV,
,Temple Spa Bali," Jl. Bumbak Anyar Kelod No.44, Kerobokan Kelod, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",Kuta Utara,Badung,-8.6521417,115.1555433,Day Spa,Facial Massage,,47,270,https://g.co/kgs/wH2TRWE,
,De Nyuh Spa Seminyak,"Grandmas Plus Hotel Seminyak, Jl. Camplung Tanduk No.99 5th Floor, Seminyak, Kuta, Badung, Bali 80361",Kuta,Badung,-8.6921729,115.1615828,Day Spa,Jacuzzi,,46,602,"https://www.google.com/search?sca_esv=d2fbde582ddfbd7f&cs=0&output=search&q=De+Nyuh+Spa+Seminyak&ludocid=5355306455086312011&ibp=gwp;0,7&lsig=AB86z5VB9vR4W5wJHvKJtSzHikw_&kgs=25d4a4aa8ee5e76c&shndl=-1&shem=lsp,ssim&source=sh/x/kp/local/m1/1",
,LV SPA Bali,"Jl. Camplung Tanduk No.10A, Seminyak, Kec. Kuta, Kabupaten Badung, Bali 80361",Kuta,Badung,-8.6909438,115.1661514,Balinese Spa,Mani Pedi,,42,96,https://g.co/kgs/6TdBBtW,
